subject,test,repetition,context,g,SD,nTrials
70,1,5,1,4.11283189505653e-05,15.9540341141287,38
70,2,1,0,0.0865718539570445,21.882345604422,40
70,2,1,1,0.000597660805202014,23.3467193033465,40
70,2,5,0,0.000298465369812382,14.6331145499727,41
70,2,5,1,0.00157699809571244,23.0830674653244,38
71,1,1,0,0.181196372720565,15.3621356994987,42
71,1,1,1,0.200882855350893,17.6089247443956,38
71,1,5,0,0.0361395185960007,14.1056862005728,38
71,1,5,1,0.00104325961061153,24.2660681266049,42
71,2,1,0,0.267674458183952,19.574245431359,42
71,2,1,1,0.257302332294991,13.8484398015554,38
71,2,5,0,0.000608937803860482,17.683218995249,38
71,2,5,1,0.00153537430894556,19.0326704235728,42
72,1,1,0,9.91299569400861e-05,15.656675891452,35
72,1,1,1,0.000162842617642957,15.3902250130619,39
72,1,5,0,0.000186583289847126,13.0304859190633,38
72,1,5,1,0.000142205464031334,12.5489326225207,41
72,2,1,0,0.0361138407352494,17.0560370543711,39
72,2,1,1,8.48701848678763e-05,13.8375286770827,41
72,2,5,0,0.000316381785708694,12.4714507969431,38
72,2,5,1,0.000256914574509281,11.752636491625,42
73,1,1,0,0.0450123846126072,22.9396606064419,39
73,1,1,1,0.118842337678929,24.5885981402451,41
73,1,5,0,0.254474474562436,13.4608109940378,39
73,1,5,1,0.000955382932411999,28.4446342507986,41
73,2,1,0,0.142060334496714,26.5298493265997,39
73,2,1,1,0.215272675228399,39.9449585885359,41
73,2,5,0,0.051661313198131,22.2872963957324,39
73,2,5,1,0.000122971988353541,19.8842514049344,41
74,1,1,0,0.131287324122389,20.0877188411681,39
74,1,1,1,0.000229199696926025,20.0001801964302,38
74,1,5,0,0.0271314667747871,18.2118501659203,39
74,1,5,1,0.028892393038373,19.7026413488026,40
74,2,1,0,0.0944030713627697,37.1413856855047,40
74,2,1,1,0.0438174939120617,26.955878791454,37
74,2,5,0,0.000527697788306501,21.3753736235486,39
74,2,5,1,0.0724970108157623,14.3334772093591,40
75,1,1,0,0.000474936954754909,22.7372304056589,40
75,1,1,1,0.0824981090265315,29.1384161454991,40
75,1,5,0,0.00137097625615734,20.9054830347243,40
75,1,5,1,0.0410732659631738,19.7983921620809,40
